Sample,IncidentNumber,Address,AlarmDt,AlarmTm,ArrivalDt,ArrivalTm,CloseDt,CloseTm,City,Zipcode,Battalion,StationArea,NeighborhoodDistrict,Lat,Long
9.24273E-06,17136034,852 Pacific Avenue,11/20/2017,1:40:24,11/20/2017,1:43:11,11/20/2017,1:51:17,San Francisco,94133,B01,2,Chinatown,37.796651,-122.409381
3.06747E-05,16135275,14 Moneta Way,12/4/2016,15:09:28,12/4/2016,15:16:22,12/4/2016,15:19:41,San Francisco,94112,B09,33,Outer Mission,37.712845,-122.448957
3.62362E-05,16117775,Illinois St/amador Street,10/22/2016,11:49:42,10/22/2016,11:50:46,10/22/2016,11:55:26,San Francisco,94124,B10,25,Bayview Hunters Point,37.745773,-122.386435
5.35889E-05,17026987,399 Fremont Street,3/4/2017,9:45:23,3/4/2017,9:49:07,3/4/2017,10:06:39,San Francisco,94105,B03,35,Financial District/South Beach,37.786863,-122.392055
5.901E-05,17023161,301 Clay Street,2/23/2017,0:17:21,2/23/2017,0:20:22,2/23/2017,0:33:12,San Francisco,94111,B01,13,Financial District/South Beach,37.794644,-122.399644
7.9498E-05,17037546,165 Grattan Street,3/29/2017,8:59:38,3/29/2017,9:03:49,3/29/2017,9:11:04,San Francisco,94117,B05,12,Haight Ashbury,37.76348,-122.450506
0.00011583,16021296,Mission St/17th Street,2/22/2016,16:27:49,2/22/2016,16:33:33,2/22/2016,19:05:42,San Francisco,94110,B02,7,Mission,37.763429,-122.419516
0.000116193,17103251,0 23rd Avenue,9/2/2017,23:29:25,9/2/2017,23:33:08,9/2/2017,23:41:14,San Francisco,94122,B08,22,Sunset/Parkside,37.765257,-122.481539
0.000126005,16029104,401 Rose Street,3/13/2016,20:50:50,3/13/2016,20:55:41,3/13/2016,21:06:46,San Francisco,94102,B02,36,Hayes Valley,37.772907,-122.42733
0.000141361,17127187,550 Buena Vista Avenue West,10/29/2017,9:15:25,10/29/2017,9:17:53,10/29/2017,9:55:11,San Francisco,94117,B05,12,Haight Ashbury,37.768564,-122.441379
0.000163232,17079207,0 10th Street,7/7/2017,13:13:17,7/7/2017,13:16:44,7/7/2017,14:12:24,San Francisco,94103,B02,36,South of Market,37.774042,-122.414371
